Region,Year,Quarter,AACI
AU,1981,1,-0.360720893
AU,1981,2,0.028828328
AU,1981,3,-0.121666218
AU,1981,4,0.104726322
AU,1982,1,0.09575385
AU,1982,2,-0.424652102
AU,1982,3,-0.63273367
AU,1982,4,-0.467719422
AU,1983,1,-0.267927813
AU,1983,2,0.323520885
AU,1983,3,-0.014929604
AU,1983,4,0.218145198
AU,1984,1,-0.021653382
AU,1984,2,-0.220144804
AU,1984,3,-0.104928185
AU,1984,4,-0.219410704
AU,1985,1,-0.229901853
AU,1985,2,0.089531701
AU,1985,3,-0.075631317
AU,1985,4,-0.270436203
AU,1986,1,-0.203882643
AU,1986,2,-0.011587729
AU,1986,3,-0.219381493
AU,1986,4,-0.361121933
AU,1987,1,-0.269762053
AU,1987,2,-0.199285336
AU,1987,3,-0.229166894
AU,1987,4,0.037173582
AU,1988,1,-0.153052797
AU,1988,2,0.145912628
AU,1988,3,0.163568274
AU,1988,4,0.462748415
AU,1989,1,-0.109492425
AU,1989,2,0.360090845
AU,1989,3,-0.477926034
AU,1989,4,-0.089843975
AU,1990,1,-0.116349935
AU,1990,2,0.410668038
AU,1990,3,0.163694466
AU,1990,4,-0.280574113
AU,1991,1,0.37031331
AU,1991,2,-0.265377592
AU,1991,3,0.284447909
AU,1991,4,-0.434773279
AU,1992,1,-0.155586698
AU,1992,2,-0.3595084
AU,1992,3,0.020102146
AU,1992,4,-0.153900742
AU,1993,1,-0.163382367
AU,1993,2,-0.397090234
AU,1993,3,-0.251274362
AU,1993,4,-0.204693582
AU,1994,1,-0.045917128
AU,1994,2,0.148769552
AU,1994,3,-0.215111009
AU,1994,4,-0.112644074
AU,1995,1,-0.157776844
AU,1995,2,-0.23390711
AU,1995,3,0.368798591
AU,1995,4,-0.084883111
AU,1996,1,0.052500835
AU,1996,2,-0.224907429
AU,1996,3,0.074148662
AU,1996,4,0.087922857
AU,1997,1,0.057808145
AU,1997,2,-0.253153551
AU,1997,3,-0.482061632
AU,1997,4,-0.287449756
AU,1998,1,-0.325568638
AU,1998,2,0.330607014
AU,1998,3,0.051358083
AU,1998,4,0.246629382
AU,1999,1,-0.08086343
AU,1999,2,0.213088566
AU,1999,3,-0.013750699
AU,1999,4,0.04219098
AU,2000,1,0.025892459
AU,2000,2,-0.098455949
AU,2000,3,-0.054286418
AU,2000,4,-0.050774011
AU,2001,1,0.394483472
AU,2001,2,-0.088470083
AU,2001,3,0.23692274
AU,2001,4,-0.089246455
AU,2002,1,0.131211033
AU,2002,2,-0.016247141
AU,2002,3,0.078198255
AU,2002,4,0.095140081
AU,2003,1,-0.033096481
AU,2003,2,0.169675098
AU,2003,3,0.139888346
AU,2003,4,0.127533437
AU,2004,1,0.174513665
AU,2004,2,-0.108422253
AU,2004,3,-0.119563774
AU,2004,4,0.068794061
AU,2005,1,0.022897664
AU,2005,2,0.118135833
AU,2005,3,0.420758772
AU,2005,4,0.206702819
AU,2006,1,0.366893079
AU,2006,2,-0.020994903
AU,2006,3,-0.298690266
AU,2006,4,0.202549216
AU,2007,1,-0.031873252
AU,2007,2,0.233663139
AU,2007,3,0.255390616
AU,2007,4,0.206629606
AU,2008,1,0.006186041
AU,2008,2,-0.034961047
AU,2008,3,0.128003395
AU,2008,4,0.230484687
AU,2009,1,0.5047955
AU,2009,2,0.158882043
AU,2009,3,0.447657326
AU,2009,4,0.348355391
AU,2010,1,0.245476662
AU,2010,2,0.207781021
AU,2010,3,0.249057675
AU,2010,4,0.406983656
AU,2011,1,0.927977932
AU,2011,2,0.138286179
AU,2011,3,0.172289858
AU,2011,4,0.526143668
AU,2012,1,0.050511035
AU,2012,2,0.170232966
AU,2012,3,0.19545848
AU,2012,4,0.158200995
AU,2013,1,0.964802442
AU,2013,2,0.48189922
AU,2013,3,0.358816607
AU,2013,4,0.531825314
AU,2014,1,0.744040948
AU,2014,2,0.19970022
AU,2014,3,0.298477897
AU,2014,4,0.355226868
AU,2015,1,0.238005773
AU,2015,2,0.450032351
AU,2015,3,-0.298217304
AU,2015,4,0.391212315
AU,2016,1,0.092038323
AU,2016,2,0.855189389
AU,2016,3,0.865328246
AU,2016,4,0.583104587
AU,2017,1,0.758706806
AU,2017,2,0.442119702
AU,2017,3,0.32245063
AU,2017,4,0.469396173
AU,2018,1,1.001563234
AU,2018,2,0.315977522
AU,2018,3,0.211667774
AU,2018,4,0.190991767
AU,2019,1,0.771879592
AU,2019,2,0.479049107
AU,2019,3,0.163247415
AU,2019,4,0.425299385
AU,2020,1,0.9414809
AU,2020,2,0.493226151
AU,2020,3,0.060737691
AU,2020,4,0.646094694
AU,2021,1,0.233906208
AU,2021,2,0.351203192
AU,2021,3,0.444112541
AU,2021,4,0.35347955
CS,1981,1,0.150822354
CS,1981,2,-0.225344547
CS,1981,3,-0.048280212
CS,1981,4,-0.217001448
CS,1982,1,0.078197015
CS,1982,2,-0.218929082
CS,1982,3,-0.546567363
CS,1982,4,-0.100449374
CS,1983,1,0.147912358
CS,1983,2,1.192935326
CS,1983,3,-0.136957122
CS,1983,4,-0.164074133
CS,1984,1,-0.098120804
CS,1984,2,-0.305455036
CS,1984,3,0.265458623
CS,1984,4,-0.376147604
CS,1985,1,-0.474926994
CS,1985,2,-0.425922352
CS,1985,3,-0.123550677
CS,1985,4,-0.328523629
CS,1986,1,-0.469197609
CS,1986,2,0.041028725
CS,1986,3,0.028620242
CS,1986,4,-0.377645953
CS,1987,1,-0.384494846
CS,1987,2,-0.18730226
CS,1987,3,-0.188780911
CS,1987,4,-0.356798871
CS,1988,1,-0.25535203
CS,1988,2,0.126603685
CS,1988,3,0.206155282
CS,1988,4,0.547326514
CS,1989,1,-0.435543359
CS,1989,2,0.588674535
CS,1989,3,-0.352588439
CS,1989,4,-0.273283987
CS,1990,1,-0.174311177
CS,1990,2,0.630968782
CS,1990,3,0.064105832
CS,1990,4,-0.537451924
CS,1991,1,0.177762357
CS,1991,2,-0.151529286
CS,1991,3,-0.201969206
CS,1991,4,-0.460305777
CS,1992,1,0.151557745
CS,1992,2,-0.488982349
CS,1992,3,-0.443072948
CS,1992,4,-0.514325868
CS,1993,1,-0.248865227
CS,1993,2,-0.363217407
CS,1993,3,0.434828727
CS,1993,4,-0.200021065
CS,1994,1,0.011174033
CS,1994,2,-0.185333232
CS,1994,3,-0.359593269
CS,1994,4,-0.46091693
CS,1995,1,0.078162313
CS,1995,2,-0.086108614
CS,1995,3,0.540087588
CS,1995,4,0.365165133
CS,1996,1,0.004848159
CS,1996,2,0.326214391
CS,1996,3,0.076183736
CS,1996,4,0.204879949
CS,1997,1,0.343975278
CS,1997,2,-0.439915464
CS,1997,3,-0.487353167
CS,1997,4,0.683849259
CS,1998,1,-0.219590359
CS,1998,2,0.99837515
CS,1998,3,1.000921323
CS,1998,4,0.087766788
CS,1999,1,-0.504555129
CS,1999,2,0.188685656
CS,1999,3,-0.506708873
CS,1999,4,-0.114294845
CS,2000,1,-0.525762993
CS,2000,2,0.486818172
CS,2000,3,-0.521934047
CS,2000,4,0.649442947
CS,2001,1,0.440507653
CS,2001,2,-0.258732739
CS,2001,3,-0.014175194
CS,2001,4,-0.332811216
CS,2002,1,-0.39080294
CS,2002,2,0.518460186
CS,2002,3,0.240469312
CS,2002,4,0.328426901
CS,2003,1,0.340853943
CS,2003,2,-0.300923581
CS,2003,3,0.042539985
CS,2003,4,0.202731834
CS,2004,1,1.801094711
CS,2004,2,-0.079413058
CS,2004,3,-0.276450984
CS,2004,4,0.0710114
CS,2005,1,0.050867829
CS,2005,2,-0.409126986
CS,2005,3,0.539533068
CS,2005,4,0.124408621
CS,2006,1,0.91880518
CS,2006,2,-0.283733737
CS,2006,3,-0.50874945
CS,2006,4,0.12024247
CS,2007,1,-0.266086958
CS,2007,2,0.13987783
CS,2007,3,0.278448598
CS,2007,4,-0.254011272
CS,2008,1,-0.188529873
CS,2008,2,-0.497009982
CS,2008,3,0.053922145
CS,2008,4,0.273538631
CS,2009,1,-0.083357987
CS,2009,2,-0.103744768
CS,2009,3,0.926038064
CS,2009,4,1.254411272
CS,2010,1,0.015466843
CS,2010,2,-0.195948294
CS,2010,3,0.110925815
CS,2010,4,0.064593633
CS,2011,1,0.502749804
CS,2011,2,-0.223531081
CS,2011,3,-0.332729734
CS,2011,4,0.435471828
CS,2012,1,-0.19371016
CS,2012,2,-0.260836422
CS,2012,3,0.023798737
CS,2012,4,-0.458261495
CS,2013,1,1.159147039
CS,2013,2,-0.312853573
CS,2013,3,-0.043482887
CS,2013,4,0.26138627
CS,2014,1,0.839712463
CS,2014,2,0.97833205
CS,2014,3,-0.416304468
CS,2014,4,1.120754068
CS,2015,1,-0.332773399
CS,2015,2,0.599201213
CS,2015,3,-0.070371009
CS,2015,4,0.137176869
CS,2016,1,-0.245741407
CS,2016,2,1.26728255
CS,2016,3,1.515076476
CS,2016,4,0.19081182
CS,2017,1,2.490856494
CS,2017,2,0.663947032
CS,2017,3,0.130950565
CS,2017,4,1.034711655
CS,2018,1,0.69918181
CS,2018,2,0.244579816
CS,2018,3,0.028089526
CS,2018,4,0.068133151
CS,2019,1,1.114975032
CS,2019,2,1.316685464
CS,2019,3,-0.145308199
CS,2019,4,0.54702356
CS,2020,1,2.617906583
CS,2020,2,-0.274109578
CS,2020,3,-0.203740453
CS,2020,4,0.294631851
CS,2021,1,0.211858612
CS,2021,2,0.22262243
CS,2021,3,0.146164146
CS,2021,4,0.321013128
EN,1981,1,-0.527524561
EN,1981,2,-0.060654675
EN,1981,3,-0.62832373
EN,1981,4,0.18126066
EN,1982,1,0.255234596
EN,1982,2,-0.522538299
EN,1982,3,-0.771764913
EN,1982,4,-0.696247706
EN,1983,1,-0.197694527
EN,1983,2,0.549812345
EN,1983,3,0.451889714
EN,1983,4,0.384319757
EN,1984,1,-0.051016866
EN,1984,2,-0.312291909
EN,1984,3,0.366250071
EN,1984,4,-0.105867275
EN,1985,1,-0.581456597
EN,1985,2,0.00562845
EN,1985,3,-0.541102543
EN,1985,4,-0.411623555
EN,1986,1,-0.531731143
EN,1986,2,-0.382313565
EN,1986,3,-0.565653338
EN,1986,4,-0.383091072
EN,1987,1,-0.181804756
EN,1987,2,-0.920665834
EN,1987,3,-0.465268224
EN,1987,4,-0.114242792
EN,1988,1,0.199741916
EN,1988,2,-0.147589229
EN,1988,3,0.949805542
EN,1988,4,0.152858813
EN,1989,1,0.170292318
EN,1989,2,0.475228637
EN,1989,3,0.003869173
EN,1989,4,0.147662881
EN,1990,1,-0.512229999
EN,1990,2,0.114321725
EN,1990,3,0.19103045
EN,1990,4,-0.109194524
EN,1991,1,0.486007686
EN,1991,2,0.258262855
EN,1991,3,0.252137328
EN,1991,4,-0.080726851
EN,1992,1,0.551713899
EN,1992,2,0.084760756
EN,1992,3,-0.218386096
EN,1992,4,-0.233159249
EN,1993,1,-0.39471768
EN,1993,2,-0.261100981
EN,1993,3,-0.010883967
EN,1993,4,-0.176418585
EN,1994,1,-0.069839659
EN,1994,2,-0.217811698
EN,1994,3,-0.560647879
EN,1994,4,-0.220587789
EN,1995,1,0.245442593
EN,1995,2,-0.230893026
EN,1995,3,-0.053903378
EN,1995,4,0.230244633
EN,1996,1,0.266525974
EN,1996,2,0.518544318
EN,1996,3,-0.141561438
EN,1996,4,-0.295968825
EN,1997,1,0.171511302
EN,1997,2,-0.142013223
EN,1997,3,-0.68269225
EN,1997,4,-0.720896262
EN,1998,1,-0.086260637
EN,1998,2,0.927211577
EN,1998,3,-0.243348862
EN,1998,4,0.593196449
EN,1999,1,0.093300012
EN,1999,2,-0.325408186
EN,1999,3,0.123875901
EN,1999,4,-0.433623534
EN,2000,1,-0.063668292
EN,2000,2,-0.49648951
EN,2000,3,0.298680136
EN,2000,4,-0.307174502
EN,2001,1,0.20785503
EN,2001,2,0.864894599
EN,2001,3,-0.003319726
EN,2001,4,0.037486384
EN,2002,1,0.684698471
EN,2002,2,0.220153763
EN,2002,3,0.252242749
EN,2002,4,0.097088435
EN,2003,1,-0.369373919
EN,2003,2,-0.104036878
EN,2003,3,-0.008132578
EN,2003,4,0.149527301
EN,2004,1,0.39485444
EN,2004,2,-0.375571457
EN,2004,3,-0.13909943
EN,2004,4,0.012556261
EN,2005,1,-0.267785386
EN,2005,2,-0.281067374
EN,2005,3,0.301523094
EN,2005,4,0.650834736
EN,2006,1,0.137332977
EN,2006,2,0.317808587
EN,2006,3,0.095846056
EN,2006,4,0.084728458
EN,2007,1,-0.956975006
EN,2007,2,0.122456738
EN,2007,3,0.053967858
EN,2007,4,0.166806688
EN,2008,1,-0.022203762
EN,2008,2,-0.252910445
EN,2008,3,0.256169511
