Region,Year,Quarter,AACI
AU,1981,1,-0.035248173
AU,1981,2,0.179185874
AU,1981,3,-0.490919352
AU,1981,4,0.029852773
AU,1982,1,-0.002881112
AU,1982,2,-0.019095874
AU,1982,3,0.662435453
AU,1982,4,0.706236998
AU,1983,1,0.923663333
AU,1983,2,-0.53937947
AU,1983,3,-0.268331122
AU,1983,4,-0.315365097
AU,1984,1,-0.354407891
AU,1984,2,-0.167478147
AU,1984,3,-0.005016385
AU,1984,4,-0.269535581
AU,1985,1,0.314376101
AU,1985,2,-0.154555086
AU,1985,3,0.104603274
AU,1985,4,-0.334079861
AU,1986,1,0.053445632
AU,1986,2,0.466415978
AU,1986,3,0.038581918
AU,1986,4,-0.455333994
AU,1987,1,0.150522116
AU,1987,2,-0.254853725
AU,1987,3,0.017828284
AU,1987,4,0.076278089
AU,1988,1,-0.087125292
AU,1988,2,0.141898434
AU,1988,3,-0.270850473
AU,1988,4,-0.008074118
AU,1989,1,-0.206715438
AU,1989,2,-0.499370675
AU,1989,3,-0.506654353
AU,1989,4,0.300198403
AU,1990,1,0.149397049
AU,1990,2,-0.415985282
AU,1990,3,-0.225621125
AU,1990,4,0.082232107
AU,1991,1,0.485197673
AU,1991,2,0.552373814
AU,1991,3,0.218456844
AU,1991,4,0.798016015
AU,1992,1,0.020556406
AU,1992,2,-0.446352272
AU,1992,3,-0.21215047
AU,1992,4,-0.60880589
AU,1993,1,-0.390035071
AU,1993,2,0.16689968
AU,1993,3,-0.242845565
AU,1993,4,-0.58296277
AU,1994,1,-0.071335334
AU,1994,2,0.596829928
AU,1994,3,0.702372786
AU,1994,4,0.819652685
AU,1995,1,-0.060816889
AU,1995,2,-0.125801052
AU,1995,3,0.327318245
AU,1995,4,-0.130590984
AU,1996,1,-0.355206463
AU,1996,2,-0.018839338
AU,1996,3,-0.075161768
AU,1996,4,-0.459262529
AU,1997,1,-0.026138881
AU,1997,2,0.29725651
AU,1997,3,-0.048538652
AU,1997,4,-0.130615075
AU,1998,1,0.024594665
AU,1998,2,0.111564171
AU,1998,3,-0.451429096
AU,1998,4,-0.621772997
AU,1999,1,-0.487739856
AU,1999,2,-0.2624606
AU,1999,3,-0.286738512
AU,1999,4,-0.362457831
AU,2000,1,-0.322483233
AU,2000,2,-0.645313215
AU,2000,3,-0.048709931
AU,2000,4,0.384221629
AU,2001,1,0.04074868
AU,2001,2,0.155344554
AU,2001,3,0.182048569
AU,2001,4,-0.412143805
AU,2002,1,-0.167313828
AU,2002,2,0.599966496
AU,2002,3,0.781192022
AU,2002,4,0.616641963
AU,2003,1,0.678502047
AU,2003,2,-0.351505228
AU,2003,3,-0.363003649
AU,2003,4,0.225706289
AU,2004,1,-0.068549119
AU,2004,2,0.082856074
AU,2004,3,-0.043601452
AU,2004,4,-0.023394439
AU,2005,1,-0.227306605
AU,2005,2,0.394586411
AU,2005,3,0.054141088
AU,2005,4,-0.351952728
AU,2006,1,-0.157746131
AU,2006,2,-0.319575564
AU,2006,3,0.49573214
AU,2006,4,0.741714165
AU,2007,1,0.407624367
AU,2007,2,0.121266312
AU,2007,3,0.283844187
AU,2007,4,0.304835448
AU,2008,1,-0.236183822
AU,2008,2,0.502402157
AU,2008,3,0.150395968
AU,2008,4,-0.155821186
AU,2009,1,0.118537226
AU,2009,2,0.216556992
AU,2009,3,0.121638806
AU,2009,4,0.587422994
AU,2010,1,-0.070561626
AU,2010,2,-0.365515345
AU,2010,3,-0.635041844
AU,2010,4,-0.480529049
AU,2011,1,-0.66462065
AU,2011,2,-0.637532851
AU,2011,3,-0.241783836
AU,2011,4,-0.184749207
AU,2012,1,-0.616464998
AU,2012,2,-0.293594548
AU,2012,3,-0.000523512
AU,2012,4,0.197041911
AU,2013,1,0.210254272
AU,2013,2,-0.390797331
AU,2013,3,-0.106992611
AU,2013,4,0.354375381
AU,2014,1,0.306019911
AU,2014,2,-0.354696646
AU,2014,3,0.104620416
AU,2014,4,0.144699542
AU,2015,1,-0.14103313
AU,2015,2,-0.134830044
AU,2015,3,-0.042995625
AU,2015,4,0.489489203
AU,2016,1,-0.105227994
AU,2016,2,-0.021988782
AU,2016,3,-0.87116446
AU,2016,4,-0.508867076
AU,2017,1,-0.328626822
AU,2017,2,-0.146405501
AU,2017,3,0.741495393
AU,2017,4,0.531453656
AU,2018,1,-0.017977194
AU,2018,2,0.215592856
AU,2018,3,0.397478632
AU,2018,4,0.234177949
AU,2019,1,0.608715221
AU,2019,2,0.168360306
AU,2019,3,0.361173465
AU,2019,4,0.736618574
AU,2020,1,1.192542094
AU,2020,2,-0.336779406
AU,2020,3,-0.042182826
AU,2020,4,-0.033519797
AU,2021,1,-0.176369136
AU,2021,2,-0.169047588
AU,2021,3,-0.288257765
AU,2021,4,-0.447000454
CS,1981,1,0.537186569
CS,1981,2,0.698647353
CS,1981,3,-0.81633718
CS,1981,4,0.136037028
CS,1982,1,0.419721737
CS,1982,2,0.051083728
CS,1982,3,0.849699243
CS,1982,4,1.109467572
CS,1983,1,0.872080122
CS,1983,2,-0.909557804
CS,1983,3,-0.697062687
CS,1983,4,-0.542749122
CS,1984,1,-1.014682799
CS,1984,2,-0.577472677
CS,1984,3,0.866544512
CS,1984,4,-0.338445358
CS,1985,1,0.643242362
CS,1985,2,-0.771689316
CS,1985,3,0.052468634
CS,1985,4,-0.379390102
CS,1986,1,-0.333117323
CS,1986,2,0.958423498
CS,1986,3,0.717958827
CS,1986,4,-0.439117369
CS,1987,1,-0.246330617
CS,1987,2,-0.275268878
CS,1987,3,0.014796993
CS,1987,4,-0.067394538
CS,1988,1,-0.5271877
CS,1988,2,-0.515440709
CS,1988,3,-0.450253966
CS,1988,4,0.239736462
CS,1989,1,-0.276336825
CS,1989,2,-0.585186746
CS,1989,3,-0.869923725
CS,1989,4,1.127703226
CS,1990,1,0.011065461
CS,1990,2,-0.419759367
CS,1990,3,-0.867114064
CS,1990,4,0.049428945
CS,1991,1,0.590191272
CS,1991,2,0.41082427
CS,1991,3,0.519696994
CS,1991,4,1.715934692
CS,1992,1,-0.173576329
CS,1992,2,-0.173858217
CS,1992,3,-0.289815544
CS,1992,4,-0.744334646
CS,1993,1,-0.230042699
CS,1993,2,0.723056378
CS,1993,3,-0.084656279
CS,1993,4,-0.557861095
CS,1994,1,0.322752338
CS,1994,2,0.223950708
CS,1994,3,0.992261453
CS,1994,4,0.287903915
CS,1995,1,-0.75821298
CS,1995,2,0.433707948
CS,1995,3,0.835193668
CS,1995,4,0.629826816
CS,1996,1,-0.521347976
CS,1996,2,0.85108766
CS,1996,3,-0.225627826
CS,1996,4,-0.567408004
CS,1997,1,0.167815292
CS,1997,2,0.789960352
CS,1997,3,0.088406125
CS,1997,4,0.004419443
CS,1998,1,-0.399613209
CS,1998,2,0.724060991
CS,1998,3,-0.694806143
CS,1998,4,-0.915913949
CS,1999,1,-0.055405712
CS,1999,2,-0.433202597
CS,1999,3,-0.50100468
CS,1999,4,-0.860935975
CS,2000,1,-0.0439708
CS,2000,2,-0.87809565
CS,2000,3,-0.467309974
CS,2000,4,0.480957051
CS,2001,1,0.381196117
CS,2001,2,-0.525271216
CS,2001,3,0.314301539
CS,2001,4,-0.32745569
CS,2002,1,0.023330293
CS,2002,2,0.376807807
CS,2002,3,1.353572338
CS,2002,4,0.599261528
CS,2003,1,1.300694052
CS,2003,2,-0.917720736
CS,2003,3,-0.683653977
CS,2003,4,0.16899009
CS,2004,1,0.08598992
CS,2004,2,0.240502959
CS,2004,3,0.012622482
CS,2004,4,-0.202569138
CS,2005,1,-0.152839722
CS,2005,2,0.859824295
CS,2005,3,0.212297402
CS,2005,4,-0.384675512
CS,2006,1,0.202328332
CS,2006,2,0.047806274
CS,2006,3,0.739106808
CS,2006,4,0.627123397
CS,2007,1,0.168878497
CS,2007,2,0.010654091
CS,2007,3,0.429055777
CS,2007,4,0.659791308
CS,2008,1,-0.710650566
CS,2008,2,0.024760916
CS,2008,3,-0.51435564
CS,2008,4,-0.680949452
CS,2009,1,-0.14740897
CS,2009,2,-0.080695111
CS,2009,3,0.259287144
CS,2009,4,0.073144933
CS,2010,1,-0.09795125
CS,2010,2,-0.37288447
CS,2010,3,-1.114061633
CS,2010,4,-0.855684249
CS,2011,1,-0.060629486
CS,2011,2,-0.89084566
CS,2011,3,-0.31967896
CS,2011,4,-0.48631629
CS,2012,1,-0.998164419
CS,2012,2,-0.443247238
CS,2012,3,0.062971654
CS,2012,4,0.270934876
CS,2013,1,-0.15161263
CS,2013,2,-0.001188966
CS,2013,3,-0.267229891
CS,2013,4,0.742394134
CS,2014,1,1.32818062
CS,2014,2,-0.811748386
CS,2014,3,-0.368234039
CS,2014,4,-0.051081645
CS,2015,1,-0.32669085
CS,2015,2,-0.98729604
CS,2015,3,-0.184031636
CS,2015,4,0.286858021
CS,2016,1,0.190465107
CS,2016,2,0.248726243
CS,2016,3,-1.11052116
CS,2016,4,-0.67419839
CS,2017,1,0.295791516
CS,2017,2,-0.527628904
CS,2017,3,0.161671491
CS,2017,4,1.572102208
CS,2018,1,0.439973875
CS,2018,2,0.422463526
CS,2018,3,0.94395874
CS,2018,4,-0.297714705
CS,2019,1,1.861343812
CS,2019,2,0.514257581
CS,2019,3,1.132468156
CS,2019,4,1.55849998
CS,2020,1,1.476933322
CS,2020,2,-0.664534737
CS,2020,3,-0.799895855
CS,2020,4,0.209523298
CS,2021,1,0.116030091
CS,2021,2,-0.639331916
CS,2021,3,-0.570017576
CS,2021,4,-0.396609739
EN,1981,1,-0.164991355
EN,1981,2,0.756257531
EN,1981,3,-0.18933931
EN,1981,4,0.190244606
EN,1982,1,-0.380099911
EN,1982,2,-0.126442504
EN,1982,3,0.591329343
EN,1982,4,0.356762649
EN,1983,1,1.814485657
EN,1983,2,-0.716532709
EN,1983,3,-0.819546042
EN,1983,4,-0.427279206
EN,1984,1,-0.259336723
EN,1984,2,0.086639136
EN,1984,3,-0.351637058
EN,1984,4,-0.544743554
EN,1985,1,0.575104332
EN,1985,2,-0.709798604
EN,1985,3,0.089880191
EN,1985,4,-0.546449995
EN,1986,1,-0.311713012
EN,1986,2,0.437763777
EN,1986,3,-0.179182576
EN,1986,4,-0.201652193
EN,1987,1,-0.519723369
EN,1987,2,-0.491605586
EN,1987,3,-0.598510822
EN,1987,4,-0.015332074
EN,1988,1,-0.158397924
EN,1988,2,-0.559184982
EN,1988,3,-0.658643896
EN,1988,4,0.02135441
EN,1989,1,-0.72610972
EN,1989,2,-1.108244234
EN,1989,3,-0.737093963
EN,1989,4,0.136495159
EN,1990,1,0.553262351
EN,1990,2,-0.311560605
EN,1990,3,0.328525441
EN,1990,4,0.447468913
EN,1991,1,0.330703977
EN,1991,2,0.906450907
EN,1991,3,0.650212542
EN,1991,4,2.628620069
EN,1992,1,-0.200119949
EN,1992,2,-0.739385685
EN,1992,3,-0.044700898
EN,1992,4,-0.447632455
EN,1993,1,0.315877378
EN,1993,2,1.422605836
EN,1993,3,0.165215008
EN,1993,4,-0.84188442
EN,1994,1,0.19111732
EN,1994,2,0.255384599
EN,1994,3,0.802550881
EN,1994,4,0.92773141
EN,1995,1,-0.24349393
EN,1995,2,-0.457645329
EN,1995,3,0.342461406
EN,1995,4,-0.493424006
EN,1996,1,-0.361552316
EN,1996,2,0.532595578
EN,1996,3,0.02094808
EN,1996,4,-0.452901618
EN,1997,1,0.205219665
EN,1997,2,-0.18415031
EN,1997,3,-0.360847803
EN,1997,4,-0.097525114
EN,1998,1,-0.174456465
EN,1998,2,0.048000796
EN,1998,3,-0.510223916
EN,1998,4,-0.893799409
EN,1999,1,-0.657983147
EN,1999,2,0.014614647
EN,1999,3,-0.681728383
EN,1999,4,-0.642556692
EN,2000,1,-0.050585482
EN,2000,2,-0.578681177
EN,2000,3,-0.589174957
EN,2000,4,1.382119059
EN,2001,1,0.327757582
EN,2001,2,-0.15763738
EN,2001,3,0.124104007
EN,2001,4,-0.031912056
EN,2002,1,-0.197490002
EN,2002,2,0.588528289
EN,2002,3,1.513110537
EN,2002,4,0.341152972
EN,2003,1,1.576487975
EN,2003,2,-0.516071854
EN,2003,3,-0.584279942
EN,2003,4,0.167074827
EN,2004,1,-0.2416528
EN,2004,2,0.181696006
EN,2004,3,1.852365778
EN,2004,4,-0.061447146
EN,2005,1,-0.286157872
EN,2005,2,0.059143889
EN,2005,3,-0.488596181
EN,2005,4,-0.282329184
EN,2006,1,-0.184060983
EN,2006,2,0.420229629
EN,2006,3,-0.061668303
EN,2006,4,0.060540315
EN,2007,1,0.377082148
EN,2007,2,0.395794379
EN,2007,3,0.563477475
EN,2007,4,-0.49060398
EN,2008,1,-1.059338248
EN,2008,2,0.960285109
EN,2008,3,-0.319307004
EN,2008,4,-0.293425219
EN,2009,1,-0.300839434
EN,2009,2,0.074950425
EN,2009,3,1.153232251
EN,2009,4,1.027486903
EN,2010,1,0.2598249
EN,2010,2,-0.541378094
EN,2010,3,-0.986027145
EN,2010,4,-0.971921329
EN,2011,1,-0.960754833
EN,2011,2,-1.305379354
EN,2011,3,-0.333333539
EN,2011,4,-0.076956318
EN,2012,1,-0.040494473
EN,2012,2,0.051584862
EN,2012,3,0.145107167
EN,2012,4,0.167522584
EN,2013,1,0.465273394
EN,2013,2,-0.768259696
EN,2013,3,-0.274283698
EN,2013,4,0.994136307
EN,2014,1,0.144585142
EN,2014,2,-0.323189492
EN,2014,3,-0.198445821
EN,2014,4,-0.470319509
EN,2015,1,-0.693021286
EN,2015,2,-0.289368306
EN,2015,3,-0.157098921
EN,2015,4,-0.684433684
EN,2016,1,-0.33464235
EN,2016,2,0.81967527
EN,2016,3,-0.658877748
EN,2016,4,-0.741705699
EN,2017,1,0.164698943
EN,2017,2,-0.144978707
EN,2017,3,-0.018251512
EN,2017,4,1.065834557
EN,2018,1,0.644431002
EN,2018,2,-0.05581668
EN,2018,3,0.489061851
EN,2018,4,-0.196058717
EN,2019,1,1.595340521
EN,2019,2,-0.272197617
EN,2019,3,0.241005569
EN,2019,4,0.992806058
EN,2020,1,1.800850564
EN,2020,2,0.690506941
EN,2020,3,-0.709032399
EN,2020,4,0.419933523
EN,2021,1,1.060106832
EN,2021,2,0.040211244
EN,2021,3,-0.14907332
EN,2021,4,-0.260281974
ES,1981,1,0.622097307
ES,1981,2,0.979791806
ES,1981,3,0.236476246
ES,1981,4,0.263660108
ES,1982,1,0.4071989
ES,1982,2,1.297834435
ES,1982,3,0.682790849
ES,1982,4,0.293987632
ES,1983,1,0.691630366
ES,1983,2,-0.376260904
ES,1983,3,-0.79452645
ES,1983,4,-0.543086906
ES,1984,1,-0.861672454
ES,1984,2,-0.230407263
ES,1984,3,0.089303343
ES,1984,4,-0.020996102
ES,1985,1,0.694900498
ES,1985,2,-0.711930587
ES,1985,3,0.020415703
ES,1985,4,-0.414959654
ES,1986,1,-0.163562354
ES,1986,2,0.594167198
ES,1986,3,0.25464142
ES,1986,4,-0.282355275
ES,1987,1,0.259632314
ES,1987,2,-0.356350173
ES,1987,3,-0.488268954
ES,1987,4,0.314999443
ES,1988,1,-0.097097289
ES,1988,2,-0.453571102
ES,1988,3,0.014201155
ES,1988,4,0.513561963
ES,1989,1,-0.867007351
