Region,Year,Quarter,AACI
AU,1981,1,0.038244794
AU,1981,2,0.222242998
AU,1981,3,0.14818163
AU,1981,4,-0.119552564
AU,1982,1,-0.171215792
AU,1982,2,-0.176786147
AU,1982,3,-0.416705591
AU,1982,4,-0.189281761
AU,1983,1,-0.2976198
AU,1983,2,1.122894543
AU,1983,3,0.07030313
AU,1983,4,0.120931533
AU,1984,1,0.014943181
AU,1984,2,-0.048766571
AU,1984,3,0.291817167
AU,1984,4,0.153125569
AU,1985,1,-0.33529744
AU,1985,2,-0.048299247
AU,1985,3,0.05293135
AU,1985,4,0.069228654
AU,1986,1,-0.098170507
AU,1986,2,-0.206393841
AU,1986,3,0.325943368
AU,1986,4,-0.064034174
AU,1987,1,-0.210831202
AU,1987,2,-0.107841528
AU,1987,3,0.073413059
AU,1987,4,-0.181391414
AU,1988,1,-0.173112314
AU,1988,2,0.374289761
AU,1988,3,0.331575109
AU,1988,4,-0.070665719
AU,1989,1,-0.110145175
AU,1989,2,0.840165541
AU,1989,3,-0.138559373
AU,1989,4,-0.159037691
AU,1990,1,0.022387506
AU,1990,2,0.527581943
AU,1990,3,0.266254406
AU,1990,4,-0.366521347
AU,1991,1,0.238256869
AU,1991,2,-0.364562814
AU,1991,3,0.086180195
AU,1991,4,-0.314353832
AU,1992,1,0.24961433
AU,1992,2,0.059053272
AU,1992,3,-0.095645496
AU,1992,4,0.226038278
AU,1993,1,0.271275165
AU,1993,2,-0.266458121
AU,1993,3,0.160675906
AU,1993,4,0.061919115
AU,1994,1,0.088072427
AU,1994,2,-0.294558667
AU,1994,3,-0.183937082
AU,1994,4,-0.409367523
AU,1995,1,0.090606957
AU,1995,2,-0.133573405
AU,1995,3,0.002552474
AU,1995,4,0.161613373
AU,1996,1,0.082642095
AU,1996,2,0.150393222
AU,1996,3,0.069325458
AU,1996,4,0.208075802
AU,1997,1,0.148272888
AU,1997,2,-0.09736222
AU,1997,3,-0.272495096
AU,1997,4,0.137082421
AU,1998,1,-0.201878404
AU,1998,2,-0.089614488
AU,1998,3,0.522369854
AU,1998,4,0.353518777
AU,1999,1,-0.031548962
AU,1999,2,0.045797715
AU,1999,3,-0.304637134
AU,1999,4,0.021613537
AU,2000,1,0.178727292
AU,2000,2,0.132810242
