Region,Year,Quarter,AACI
AU,1981,1,-1.174473069
AU,1981,2,0.159076024
AU,1981,3,-0.347489259
AU,1981,4,0.388908217
AU,1982,1,0.053469704
AU,1982,2,-0.69197262
AU,1982,3,-1.246206014
AU,1982,4,-1.236640942
AU,1983,1,-0.829066667
AU,1983,2,-0.271919032
AU,1983,3,0.080709331
AU,1983,4,0.915454793
AU,1984,1,0.425384964
AU,1984,2,-0.079063052
AU,1984,3,-0.100927078
AU,1984,4,-0.36940596
AU,1985,1,-0.151755367
AU,1985,2,0.264139575
AU,1985,3,-0.218084719
AU,1985,4,-0.514413205
AU,1986,1,-0.110938258
AU,1986,2,-0.131900744
AU,1986,3,-0.712048175
AU,1986,4,-0.625487802
AU,1987,1,-0.311881163
AU,1987,2,-0.488348688
AU,1987,3,-0.495770082
AU,1987,4,-0.174965907
AU,1988,1,-0.049250476
AU,1988,2,-0.084975839
AU,1988,3,-0.111298596
AU,1988,4,0.930620132
AU,1989,1,0.137764701
AU,1989,2,0.399680956
AU,1989,3,-0.834504096
AU,1989,4,0.309739962
AU,1990,1,-0.186840821
AU,1990,2,0.513685233
AU,1990,3,0.427743882
AU,1990,4,-0.252219813
AU,1991,1,0.532299999
AU,1991,2,-0.176411608
AU,1991,3,0.351018947
AU,1991,4,-0.736551033
AU,1992,1,-0.391883868
AU,1992,2,-0.890241389
AU,1992,3,0.489306956
AU,1992,4,-0.296903813
AU,1993,1,-0.425809708
AU,1993,2,-0.608425766
AU,1993,3,-0.967259979
AU,1993,4,-0.346330588
AU,1994,1,-0.327427657
AU,1994,2,0.693471364
AU,1994,3,-0.550600054
AU,1994,4,0.230317475
AU,1995,1,-0.578985461
AU,1995,2,-0.464382381
AU,1995,3,0.359020691
AU,1995,4,-0.247570488
AU,1996,1,0.409282347
AU,1996,2,-0.852745468
AU,1996,3,0.247736878
AU,1996,4,0.010577341
AU,1997,1,-0.135220815
AU,1997,2,-0.349642918
AU,1997,3,-0.744533889
AU,1997,4,-1.036684868
AU,1998,1,-0.845188756
AU,1998,2,-0.014521695
AU,1998,3,-0.484205537
AU,1998,4,0.265906509
AU,1999,1,-0.043962747
AU,1999,2,0.631160074
AU,1999,3,0.464897938
AU,1999,4,0.197260631
AU,2000,1,0.121355738
AU,2000,2,-0.4621074
AU,2000,3,0.40257351
AU,2000,4,-0.457481862
AU,2001,1,0.946684759
AU,2001,2,0.143103154
AU,2001,3,0.647826022
AU,2001,4,0.085982182
AU,2002,1,0.587852717
AU,2002,2,-0.060696655
AU,2002,3,0.101037185
AU,2002,4,0.382096261
AU,2003,1,-0.30844625
AU,2003,2,0.700999839
AU,2003,3,0.364075674
AU,2003,4,0.281573949
AU,2004,1,-0.098547771
AU,2004,2,-0.063164009
AU,2004,3,0.157318453
AU,2004,4,0.11444929
AU,2005,1,0.209958748
AU,2005,2,-0.057894096
AU,2005,3,0.313044202
AU,2005,4,0.215043726
AU,2006,1,0.604692525
AU,2006,2,0.140111785
AU,2006,3,-0.529150387
AU,2006,4,0.334295032
AU,2007,1,-0.203213451
AU,2007,2,0.309881863
AU,2007,3,0.421194717
AU,2007,4,0.891666731
AU,2008,1,0.057203178
AU,2008,2,0.181277
AU,2008,3,0.687636695
AU,2008,4,0.515559021
AU,2009,1,1.045553127
AU,2009,2,0.875738021
AU,2009,3,0.614349787
AU,2009,4,0.014529673
AU,2010,1,0.293520014
AU,2010,2,0.527276664
AU,2010,3,0.495749694
AU,2010,4,0.152910548
AU,2011,1,1.320823411
AU,2011,2,0.432380985
AU,2011,3,0.117607409
AU,2011,4,1.437147929
AU,2012,1,0.102573511
AU,2012,2,0.585189497
AU,2012,3,0.717782449
AU,2012,4,0.682234245
AU,2013,1,1.818739577
AU,2013,2,1.057860184
AU,2013,3,0.421724156
AU,2013,4,0.517905428
AU,2014,1,1.353690579
AU,2014,2,-0.168886501
AU,2014,3,0.925586873
AU,2014,4,0.615775467
AU,2015,1,0.588122564
