Region,Year,Quarter,AACI
AU,1981,1,0.054065595
AU,1981,2,-0.294834038
AU,1981,3,-0.165691025
AU,1981,4,0.044823314
AU,1982,1,0.405007636
AU,1982,2,-0.405197541
AU,1982,3,-0.235289405
AU,1982,4,0.022764438
AU,1983,1,0.322903027
AU,1983,2,0.119587145
AU,1983,3,-0.195801273
AU,1983,4,-0.381950731
AU,1984,1,-0.505288291
AU,1984,2,-0.53260479
AU,1984,3,-0.505674645
AU,1984,4,-0.441951721
AU,1985,1,-0.202652752
AU,1985,2,0.052754776
AU,1985,3,-0.061740582
AU,1985,4,-0.366124057
AU,1986,1,-0.402539163
AU,1986,2,0.303531398
AU,1986,3,-0.272039671
AU,1986,4,-0.393843823
AU,1987,1,-0.286573794
AU,1987,2,-0.001665792
AU,1987,3,-0.265143658
AU,1987,4,0.467878068
AU,1988,1,-0.236795601
AU,1988,2,0.148423963
AU,1988,3,0.270428308
AU,1988,4,0.52829083
AU,1989,1,-0.3560968
AU,1989,2,-0.159573962
AU,1989,3,-0.460714634
AU,1989,4,-0.420234196
AU,1990,1,-0.184596489
AU,1990,2,0.190736938
AU,1990,3,-0.202914891
AU,1990,4,-0.22298118
AU,1991,1,0.340383062
AU,1991,2,-0.255158354
AU,1991,3,0.416144586
AU,1991,4,-0.253414971
AU,1992,1,-0.324490557
AU,1992,2,-0.247337083
AU,1992,3,-0.333355023
AU,1992,4,-0.390836691
AU,1993,1,-0.335612558
AU,1993,2,-0.316386815
AU,1993,3,0.052760989
AU,1993,4,-0.329669273
AU,1994,1,0.101603845
AU,1994,2,0.047395958
AU,1994,3,0.089204111
AU,1994,4,-0.158882174
AU,1995,1,0.015047974
AU,1995,2,-0.103765543
AU,1995,3,0.744822608
AU,1995,4,-0.168692219
AU,1996,1,-0.334421935
AU,1996,2,0.027629958
AU,1996,3,-0.09461635
AU,1996,4,0.045115429
AU,1997,1,0.160372362
AU,1997,2,-0.312455515
AU,1997,3,-0.429155912
AU,1997,4,0.03725318
AU,1998,1,0.070361246
AU,1998,2,1.095957225
AU,1998,3,0.115909932
AU,1998,4,0.12046286
AU,1999,1,-0.167078581
AU,1999,2,-0.037692092
AU,1999,3,-0.2015129
AU,1999,4,-0.092301227
AU,2000,1,-0.222405652
AU,2000,2,0.033929309
AU,2000,3,-0.33001116
AU,2000,4,-0.184078127
AU,2001,1,0.198384571
AU,2001,2,-0.284456594
AU,2001,3,0.051387849
AU,2001,4,-0.244662793
AU,2002,1,-0.080430047
AU,2002,2,0.360712031
AU,2002,3,0.446088257
AU,2002,4,0.311143603
AU,2003,1,0.155800162
AU,2003,2,-0.064249898
AU,2003,3,0.062559311
AU,2003,4,0.313957266
AU,2004,1,0.548773991
AU,2004,2,-0.030700441
AU,2004,3,-0.219474545
AU,2004,4,0.146232035
AU,2005,1,-0.142847427
AU,2005,2,0.672939376
AU,2005,3,0.746442948
AU,2005,4,0.294387339
