Region,Year,Quarter,AACI
AU,1981,1,-0.015615165
AU,1981,2,-0.055755314
AU,1981,3,-0.174203948
AU,1981,4,-0.201594158
AU,1982,1,0.182269155
AU,1982,2,-0.146847903
AU,1982,3,-0.635617457
AU,1982,4,-0.492797123
AU,1983,1,-0.103635131
AU,1983,2,-0.435732935
AU,1983,3,-0.251327021
AU,1983,4,-0.180106596
AU,1984,1,-0.203107888
AU,1984,2,-0.343091652
AU,1984,3,-0.551909247
AU,1984,4,-0.55475729
AU,1985,1,0.128348042
AU,1985,2,-0.19760148
AU,1985,3,-0.035117807
AU,1985,4,0.018588572
AU,1986,1,0.14210843
AU,1986,2,0.388937959
AU,1986,3,-0.678539487
AU,1986,4,-0.327479777
AU,1987,1,-0.400798748
AU,1987,2,-0.617236744
AU,1987,3,0.347510116
AU,1987,4,-0.058727908
AU,1988,1,-0.080861271
AU,1988,2,0.200762324
AU,1988,3,0.474393884
AU,1988,4,0.135386663
AU,1989,1,-0.035675097
AU,1989,2,0.131887187
AU,1989,3,-0.528443346
AU,1989,4,0.28917497
AU,1990,1,-0.154423891
AU,1990,2,-0.132238347
AU,1990,3,-0.305393943
AU,1990,4,0.331272001
AU,1991,1,0.224613444
AU,1991,2,0.197144138
AU,1991,3,0.353741773
AU,1991,4,0.183791977
AU,1992,1,-0.083717191
AU,1992,2,0.355491207
AU,1992,3,0.103961578
AU,1992,4,-0.611634093
AU,1993,1,-0.240196134
AU,1993,2,0.293554253
AU,1993,3,0.257109241
AU,1993,4,0.055638646
AU,1994,1,-0.350115457
AU,1994,2,-0.480225358
AU,1994,3,0.020579598
AU,1994,4,-0.374385927
AU,1995,1,0.177741334
AU,1995,2,-0.554587969
AU,1995,3,-0.332834397
AU,1995,4,-0.350240827
AU,1996,1,-0.81421294
AU,1996,2,0.017486506
AU,1996,3,0.127251879
AU,1996,4,-0.180162746
AU,1997,1,0.147450392
AU,1997,2,0.023038626
AU,1997,3,-0.307924919
AU,1997,4,0.303837084
AU,1998,1,0.374238996
AU,1998,2,0.326143283
AU,1998,3,-0.071446273
AU,1998,4,0.016141458
AU,1999,1,0.315780335
AU,1999,2,-0.152151904
AU,1999,3,0.508124455
AU,1999,4,0.202787366
AU,2000,1,-0.263628696
AU,2000,2,-0.31066149
AU,2000,3,-0.097518773
AU,2000,4,0.275457156
AU,2001,1,0.148508376
AU,2001,2,0.107157677
AU,2001,3,0.375449718
AU,2001,4,0.154994134
AU,2002,1,-0.015621987
AU,2002,2,0.492156461
AU,2002,3,0.094849507
AU,2002,4,0.424018431
AU,2003,1,0.199137568
AU,2003,2,0.215575426
AU,2003,3,0.341299722
AU,2003,4,-0.025361836
AU,2004,1,0.189708518
AU,2004,2,0.191061117
AU,2004,3,0.176846048
AU,2004,4,0.158807291
AU,2005,1,-0.091195025
AU,2005,2,0.226507931
AU,2005,3,0.191728799
AU,2005,4,0.339832427
AU,2006,1,0.180488383
AU,2006,2,-0.389061539
AU,2006,3,-0.007095138
AU,2006,4,-0.136184215
AU,2007,1,-0.132117225
AU,2007,2,0.332712677
AU,2007,3,-0.247447904
AU,2007,4,0.391632245
AU,2008,1,0.081367614
AU,2008,2,-0.243838663
AU,2008,3,0.114353195
AU,2008,4,0.17210101
AU,2009,1,0.113474623
AU,2009,2,0.174113805
AU,2009,3,0.522081528
AU,2009,4,0.332063299
AU,2010,1,0.32998268
AU,2010,2,0.380167414
AU,2010,3,0.162272917
AU,2010,4,-0.298256716
AU,2011,1,0.046431034
AU,2011,2,-0.28553097
AU,2011,3,-0.039941597
AU,2011,4,0.25438378
AU,2012,1,-0.125642456
AU,2012,2,-0.152116456
AU,2012,3,0.247531496
AU,2012,4,0.238011126
AU,2013,1,0.316377903
AU,2013,2,0.157416353
AU,2013,3,0.431720457
AU,2013,4,0.379691051
AU,2014,1,0.250702174
AU,2014,2,0.340128045
AU,2014,3,0.312285705
AU,2014,4,0.45453597
AU,2015,1,0.287620783
AU,2015,2,-0.007651167
AU,2015,3,0.312441895
AU,2015,4,0.50183729
AU,2016,1,0.289051925
AU,2016,2,0.506556798
AU,2016,3,0.161132793
AU,2016,4,0.096996325
AU,2017,1,0.221644969
AU,2017,2,0.422818543
AU,2017,3,0.297106837
AU,2017,4,0.389979177
AU,2018,1,0.144490632
AU,2018,2,0.524694048
AU,2018,3,0.223784772
AU,2018,4,0.285759082
AU,2019,1,0.455302401
AU,2019,2,0.108825911
AU,2019,3,0.249461183
AU,2019,4,0.166019893
AU,2020,1,0.321315019
AU,2020,2,-0.002562391
AU,2020,3,0.344384034
AU,2020,4,0.34243668
AU,2021,1,0.202544636
AU,2021,2,-0.060574772
AU,2021,3,0.296354582
AU,2021,4,-0.276935183
CS,1981,1,0.498382899
CS,1981,2,0.191586268
CS,1981,3,0.251098977
CS,1981,4,-0.007099296
CS,1982,1,0.524461297
CS,1982,2,-0.590782182
CS,1982,3,-0.17408939
CS,1982,4,0.064092313
CS,1983,1,0.156509312
CS,1983,2,-0.098395292
CS,1983,3,0.072357178
CS,1983,4,-0.880777051
CS,1984,1,-0.554305339
CS,1984,2,-0.344603879
CS,1984,3,-0.291611036
CS,1984,4,-1.354403436
CS,1985,1,0.497699093
CS,1985,2,0.098031385
CS,1985,3,-0.611390373
CS,1985,4,0.240224424
CS,1986,1,-0.302403739
CS,1986,2,0.316031614
CS,1986,3,-0.951374119
CS,1986,4,-1.213521064
CS,1987,1,-0.151030818
CS,1987,2,-0.579288683
CS,1987,3,0.257829404
CS,1987,4,-0.107268905
CS,1988,1,-0.631899528
CS,1988,2,-0.666826693
CS,1988,3,0.513866007
CS,1988,4,0.085414134
CS,1989,1,0.441333408
CS,1989,2,-0.017663633
CS,1989,3,-0.740435692
CS,1989,4,0.460158204
CS,1990,1,0.595352021
CS,1990,2,0.153623056
CS,1990,3,-0.132661974
CS,1990,4,0.369817568
CS,1991,1,0.64287289
CS,1991,2,0.484135816
CS,1991,3,0.319347689
CS,1991,4,0.067102979
CS,1992,1,-0.435800899
CS,1992,2,0.548786375
CS,1992,3,0.368078236
CS,1992,4,-0.62745734
CS,1993,1,-0.18511263
CS,1993,2,0.484750167
CS,1993,3,0.573414225
CS,1993,4,0.435057714
CS,1994,1,-1.350496298
CS,1994,2,-0.659337027
CS,1994,3,0.11284308
CS,1994,4,0.032303947
CS,1995,1,0.053474575
CS,1995,2,-0.332814078
CS,1995,3,-0.477705795
CS,1995,4,-0.211702331
CS,1996,1,-1.101881187
CS,1996,2,-0.677037145
CS,1996,3,-0.006227807
CS,1996,4,-0.435752552
CS,1997,1,0.311879142
CS,1997,2,0.475112213
CS,1997,3,-0.490809659
CS,1997,4,0.627050181
CS,1998,1,0.465933991
CS,1998,2,0.323076701
CS,1998,3,0.11197155
CS,1998,4,-0.147901979
CS,1999,1,0.030069469
CS,1999,2,-0.274761312
CS,1999,3,0.606981998
CS,1999,4,0.238258702
CS,2000,1,-0.446198917
CS,2000,2,-0.565408926
CS,2000,3,-0.080291069
CS,2000,4,0.293321964
CS,2001,1,0.201845608
CS,2001,2,0.483425371
CS,2001,3,0.300495281
CS,2001,4,0.226758438
CS,2002,1,0.244241772
CS,2002,2,0.548786375
CS,2002,3,-0.766479027
CS,2002,4,0.691342359
CS,2003,1,0.124787346
CS,2003,2,0.487959268
CS,2003,3,0.542857197
CS,2003,4,-0.249458116
CS,2004,1,0.291970286
CS,2004,2,0.332793218
CS,2004,3,0.555581765
CS,2004,4,0.280754568
CS,2005,1,-0.715895764
CS,2005,2,0.388812283
CS,2005,3,0.289145132
CS,2005,4,0.214916951
CS,2006,1,0.783366676
CS,2006,2,-0.661181659
CS,2006,3,0.081474916
CS,2006,4,-0.036981607
CS,2007,1,0.140767616
CS,2007,2,0.548786375
CS,2007,3,-0.819728067
CS,2007,4,0.563152981
CS,2008,1,-0.149825154
CS,2008,2,-0.936089749
CS,2008,3,0.434270193
CS,2008,4,0.044686572
CS,2009,1,0.164146736
CS,2009,2,0.433853365
CS,2009,3,0.468630734
CS,2009,4,0.571394313
CS,2010,1,-0.144243861
CS,2010,2,0.091386405
CS,2010,3,-0.182500865
CS,2010,4,-0.525733656
CS,2011,1,-0.346699278
CS,2011,2,-0.364098851
CS,2011,3,0.173808394
CS,2011,4,0.47777832
CS,2012,1,-1.200522137
CS,2012,2,0.350823384
CS,2012,3,0.287326477
CS,2012,4,0.286409341
CS,2013,1,0.66036233
CS,2013,2,-0.040329576
CS,2013,3,0.399555482
CS,2013,4,0.475125671
CS,2014,1,0.175850433
CS,2014,2,-0.430416805
CS,2014,3,0.607610095
CS,2014,4,0.619673162
CS,2015,1,0.41610798
CS,2015,2,-0.442430349
CS,2015,3,0.207248603
CS,2015,4,0.778363555
CS,2016,1,0.231971831
CS,2016,2,0.548786375
CS,2016,3,0.026509234
CS,2016,4,0.50815939
CS,2017,1,0.695829913
CS,2017,2,0.210161765
CS,2017,3,0.212169619
CS,2017,4,0.723119507
CS,2018,1,0.27244903
CS,2018,2,0.548786375
CS,2018,3,0.001121598
CS,2018,4,0.55902216
CS,2019,1,0.783366676
CS,2019,2,0.498004684
CS,2019,3,0.17548349
CS,2019,4,0.660859007
CS,2020,1,0.283479717
CS,2020,2,-0.502630168
CS,2020,3,0.518346583
CS,2020,4,0.562217069
CS,2021,1,0.275023315
CS,2021,2,-1.321926988
CS,2021,3,0.001132663
CS,2021,4,-0.118606746
EN,1981,1,0.330684565
EN,1981,2,0.3747173
EN,1981,3,0.218670423
EN,1981,4,-1.059298746
EN,1982,1,0.521161544
EN,1982,2,0.260465492
EN,1982,3,-0.85677339
EN,1982,4,-0.901761537
EN,1983,1,-0.402850457
EN,1983,2,-0.549924196
EN,1983,3,0.224550104
EN,1983,4,0.196604746
EN,1984,1,-0.081295891
EN,1984,2,-0.609122229
EN,1984,3,-0.757312829
EN,1984,4,-1.691366341
EN,1985,1,0.379311336
EN,1985,2,-0.549626601
EN,1985,3,-0.612699707
EN,1985,4,-0.04568735
EN,1986,1,-0.24836207
EN,1986,2,0.465734627
EN,1986,3,-0.207954698
EN,1986,4,-0.520533483
EN,1987,1,0.043778612
EN,1987,2,0.300353042
EN,1987,3,0.566993317
EN,1987,4,-0.126619654
EN,1988,1,0.201176167
EN,1988,2,0.027676927
EN,1988,3,0.621391932
EN,1988,4,-0.135919985
EN,1989,1,-1.511331978
EN,1989,2,0.347953689
EN,1989,3,-1.075968112
EN,1989,4,0.415081008
EN,1990,1,0.083831602
EN,1990,2,-1.116373287
EN,1990,3,-0.555204551
EN,1990,4,0.381093819
EN,1991,1,0.515171784
EN,1991,2,0.543688848
EN,1991,3,0.214761884
EN,1991,4,0.102545531
EN,1992,1,0.517554562
EN,1992,2,0.613945536
EN,1992,3,0.58422743
EN,1992,4,-0.649192392
EN,1993,1,0.140224848
EN,1993,2,0.27677394
EN,1993,3,0.728672524
EN,1993,4,-0.179178764
EN,1994,1,-0.640717569
EN,1994,2,-1.412554081
EN,1994,3,0.059805116
EN,1994,4,-0.263884521
EN,1995,1,-0.112331065
EN,1995,2,-0.211947593
EN,1995,3,-0.77283265
EN,1995,4,0.027299569
EN,1996,1,-0.49535932
EN,1996,2,-0.399073065
EN,1996,3,-0.315237803
EN,1996,4,-0.038818869
EN,1997,1,0.011928595
EN,1997,2,0.209107017
EN,1997,3,-0.304170521
EN,1997,4,0.240431301
EN,1998,1,0.682605756
EN,1998,2,0.177533129
EN,1998,3,0.728672524
EN,1998,4,0.364687845
EN,1999,1,0.53500584
EN,1999,2,0.067034168
EN,1999,3,0.728672524
EN,1999,4,0.389062474
EN,2000,1,-1.481181493
EN,2000,2,-0.574030972
EN,2000,3,-0.912139313
EN,2000,4,0.349580315
EN,2001,1,0.363288097
EN,2001,2,0.613945536
EN,2001,3,0.66571225
EN,2001,4,0.398391329
EN,2002,1,0.503621558
EN,2002,2,0.425945318
EN,2002,3,-0.023886924
EN,2002,4,0.614364387
EN,2003,1,0.133401509
EN,2003,2,-0.011800085
EN,2003,3,0.444350132
EN,2003,4,0.306441497
EN,2004,1,0.208998317
EN,2004,2,0.289504211
EN,2004,3,0.651539589
EN,2004,4,0.335407061
EN,2005,1,-0.341915598
EN,2005,2,0.541699047
EN,2005,3,0.104049064
EN,2005,4,0.524251665
EN,2006,1,0.39525654
EN,2006,2,-0.455662314
EN,2006,3,0.559056039
EN,2006,4,-0.008791178
EN,2007,1,-1.076311967
EN,2007,2,0.613945536
EN,2007,3,-0.813524823
EN,2007,4,0.092808614
EN,2008,1,-0.218678506
EN,2008,2,-0.737511572
EN,2008,3,-0.605012759
EN,2008,4,0.297275084
EN,2009,1,0.454884975
EN,2009,2,0.211339487
EN,2009,3,0.386018152
EN,2009,4,0.686050288
EN,2010,1,0.398363678
EN,2010,2,0.199750967
EN,2010,3,0.325575075
EN,2010,4,-0.100323714
EN,2011,1,-0.231848942
EN,2011,2,-0.303004045
EN,2011,3,-0.179786277
EN,2011,4,0.686050288
EN,2012,1,-0.618785924
EN,2012,2,0.250279266
EN,2012,3,0.044780202
EN,2012,4,0.040882924
EN,2013,1,-0.270458111
EN,2013,2,-0.833529067
EN,2013,3,0.070620948
EN,2013,4,0.578861592
EN,2014,1,0.439229941
EN,2014,2,0.205892312
EN,2014,3,0.531087932
EN,2014,4,0.623055816
EN,2015,1,0.166413379
EN,2015,2,-0.631067759
EN,2015,3,0.464319541
EN,2015,4,0.686050288
EN,2016,1,0.361467517
EN,2016,2,0.560575077
EN,2016,3,0.728672524
EN,2016,4,0.489068923
EN,2017,1,0.682605756
EN,2017,2,0.461860217
EN,2017,3,0.728672524
EN,2017,4,0.615160897
EN,2018,1,-0.573010395
EN,2018,2,0.524660178
EN,2018,3,-0.099107545
EN,2018,4,0.306526112
EN,2019,1,0.581780281
EN,2019,2,0.613945536
EN,2019,3,0.512746683
EN,2019,4,0.135926129
EN,2020,1,0.516269536
EN,2020,2,-0.60472674
EN,2020,3,0.728672524
EN,2020,4,0.571154238
EN,2021,1,0.377662759
EN,2021,2,-0.234968781
EN,2021,3,0.382990904
EN,2021,4,0.606934917
ES,1981,1,0.608977635
ES,1981,2,0.580399924
ES,1981,3,-0.322605488
ES,1981,4,-0.040210264
ES,1982,1,0.064508558
ES,1982,2,-0.503878166
ES,1982,3,-0.5959302
ES,1982,4,-1.090327508
ES,1983,1,0.344470156
ES,1983,2,-0.400984488
ES,1983,3,-0.546315196
ES,1983,4,-0.15315344
ES,1984,1,-0.369110505
ES,1984,2,-0.526115924
ES,1984,3,-0.466708309
ES,1984,4,-0.8046518
ES,1985,1,-0.087256188
ES,1985,2,0.264417465
ES,1985,3,-0.024134751
ES,1985,4,0.607282909
ES,1986,1,-0.263236949
ES,1986,2,0.162285557
ES,1986,3,-1.68837336
ES,1986,4,-1.00255439
ES,1987,1,0.334216421
ES,1987,2,-1.471211705
ES,1987,3,0.502403544
ES,1987,4,-0.544163097
ES,1988,1,-0.184734206
ES,1988,2,0.098267226
ES,1988,3,0.514801861
ES,1988,4,0.197150723
ES,1989,1,0.025543504
ES,1989,2,-0.192774745
ES,1989,3,-0.497347034
ES,1989,4,0.543217266
ES,1990,1,0.232837448
ES,1990,2,0.444762056
ES,1990,3,-0.239320013
ES,1990,4,0.573303008
ES,1991,1,0.643071326
ES,1991,2,0.518863257
ES,1991,3,0.209155454
ES,1991,4,0.213187947
ES,1992,1,-0.591193072
ES,1992,2,0.296728573
ES,1992,3,0.142479751
ES,1992,4,-0.397244911
ES,1993,1,-0.232995091
ES,1993,2,0.543502708
ES,1993,3,0.431101956
ES,1993,4,0.057996316
ES,1994,1,0.04915797
ES,1994,2,-0.700320602
ES,1994,3,0.270106919
ES,1994,4,-0.166869763
ES,1995,1,0.058739682
ES,1995,2,-0.131043199
ES,1995,3,-1.154289129
ES,1995,4,-0.52679953
ES,1996,1,-1.485129617
ES,1996,2,-0.226835997
ES,1996,3,0.38120476
ES,1996,4,-0.450920346
ES,1997,1,-0.439765799
ES,1997,2,0.15330473
ES,1997,3,0.254972395
ES,1997,4,0.120032281
ES,1998,1,0.517811292
ES,1998,2,0.561606299
ES,1998,3,0.174308561
ES,1998,4,0.22372924
ES,1999,1,0.608977635
ES,1999,2,0.175287135
ES,1999,3,0.711767898
ES,1999,4,0.264044942
ES,2000,1,-0.024365735
ES,2000,2,-0.492891977
ES,2000,3,0.23456204
ES,2000,4,0.694973819
ES,2001,1,0.541231598
ES,2001,2,0.255010892
ES,2001,3,0.399403207
ES,2001,4,0.141509321
ES,2002,1,0.458476574
ES,2002,2,0.561606299
ES,2002,3,0.047353053
ES,2002,4,0.572405261
ES,2003,1,-0.096394855
ES,2003,2,0.246671717
ES,2003,3,0.466079215
ES,2003,4,0.017179758
ES,2004,1,0.289195735
ES,2004,2,0.287404408
ES,2004,3,0.135107615
ES,2004,4,0.177461215
ES,2005,1,-0.766702738
ES,2005,2,-0.215853783
ES,2005,3,0.152460598
ES,2005,4,0.226328595
ES,2006,1,0.643071326
ES,2006,2,-0.638948723
ES,2006,3,0.181532792
