Region,Year,Quarter,AACI
AU,1981,1,0
AU,1981,2,0
AU,1981,3,0
AU,1981,4,0
AU,1982,1,0
AU,1982,2,0
AU,1982,3,0
AU,1982,4,0
AU,1983,1,0
AU,1983,2,0
AU,1983,3,0
AU,1983,4,0
AU,1984,1,0
AU,1984,2,0
AU,1984,3,0
AU,1984,4,0
AU,1985,1,0
AU,1985,2,0
AU,1985,3,0
AU,1985,4,0
AU,1986,1,-0.252050979
AU,1986,2,-0.287192294
AU,1986,3,0.386057855
AU,1986,4,0.263101246
AU,1987,1,0.260820685
AU,1987,2,-0.179283589
AU,1987,3,0.099784839
AU,1987,4,0.003174292
AU,1988,1,-0.236201079
AU,1988,2,-0.479606664
AU,1988,3,-0.278400529
AU,1988,4,0.156695245
AU,1989,1,-0.168200323
AU,1989,2,-0.107561708
AU,1989,3,0.041020929
AU,1989,4,-0.092949132
AU,1990,1,0.202935667
AU,1990,2,0.070709766
AU,1990,3,-0.425489658
AU,1990,4,-0.131380392
AU,1991,1,0.255345621
AU,1991,2,0.85672157
AU,1991,3,0.211162774
AU,1991,4,0.140880133
AU,1992,1,-0.007629839
AU,1992,2,0.133708228
AU,1992,3,0.15274894
AU,1992,4,-0.432545226
AU,1993,1,0.284441342
AU,1993,2,-0.197626651
AU,1993,3,0.165335559
AU,1993,4,-0.180871408
AU,1994,1,0.294045589
AU,1994,2,0.089477802
AU,1994,3,0.625083617
AU,1994,4,-0.238432758
AU,1995,1,-0.563265524
AU,1995,2,-0.013405718
AU,1995,3,-0.483384928
AU,1995,4,-0.066511238
AU,1996,1,-0.216678847
AU,1996,2,-0.178193116
AU,1996,3,-0.358726844
AU,1996,4,0.094733768
AU,1997,1,-0.037445389
AU,1997,2,0.315309443
AU,1997,3,-0.012209901
AU,1997,4,0.485269676
AU,1998,1,-0.135023094
AU,1998,2,0.081062231
AU,1998,3,-0.370510356
AU,1998,4,-0.265986543
AU,1999,1,-0.247449977
AU,1999,2,-0.580696782
AU,1999,3,-0.054067403
AU,1999,4,-0.773428527
AU,2000,1,-0.553306151
AU,2000,2,-0.200755562
AU,2000,3,-0.203182721
AU,2000,4,-0.585831454
AU,2001,1,-0.323237854
AU,2001,2,0.094400833
AU,2001,3,-0.026631567
AU,2001,4,0.020375908
AU,2002,1,-0.51772096
AU,2002,2,0.129966159
AU,2002,3,0.524752197
AU,2002,4,-0.128180464
AU,2003,1,-0.146940687
AU,2003,2,0.016883702
AU,2003,3,-0.238408591
AU,2003,4,0.148437883
AU,2004,1,-0.186042061
AU,2004,2,-0.392502715
AU,2004,3,-0.123561514
AU,2004,4,-0.027321053
AU,2005,1,0.333646078
AU,2005,2,0.161782671
AU,2005,3,0.07777736
AU,2005,4,0.262315958
AU,2006,1,-0.496076404
AU,2006,2,-0.207783993
AU,2006,3,0.280366461
AU,2006,4,1.070045422
AU,2007,1,0.049540202
AU,2007,2,-0.170187989
AU,2007,3,-0.116432458
AU,2007,4,0.075028851
AU,2008,1,-0.147780078
AU,2008,2,0.568559602
AU,2008,3,0.463764168
AU,2008,4,0.058796134
AU,2009,1,-0.593245937
AU,2009,2,0.071872732
AU,2009,3,-0.564649623
AU,2009,4,-0.506300583
AU,2010,1,0.056778534
AU,2010,2,0.101525036
AU,2010,3,-0.503858963
AU,2010,4,0
AU,2011,1,0
AU,2011,2,0
AU,2011,3,0
AU,2011,4,0
AU,2012,1,0
AU,2012,2,0
AU,2012,3,0
AU,2012,4,0
AU,2013,1,0
AU,2013,2,0
AU,2013,3,0
AU,2013,4,0
AU,2014,1,0
AU,2014,2,0
AU,2014,3,0
AU,2014,4,0
AU,2015,1,0
AU,2015,2,0
AU,2015,3,0
AU,2015,4,0
AU,2016,1,0
AU,2016,2,0
AU,2016,3,0
AU,2016,4,0
AU,2017,1,0
AU,2017,2,0
AU,2017,3,0
AU,2017,4,0
AU,2018,1,0
AU,2018,2,0
AU,2018,3,0
AU,2018,4,0
AU,2019,1,0
AU,2019,2,0
AU,2019,3,0
AU,2019,4,0
AU,2020,1,0
AU,2020,2,0
AU,2020,3,0
AU,2020,4,0.34243668
AU,2021,1,0
AU,2021,2,0
AU,2021,3,0
AU,2021,4,0
CS,1981,1,0
CS,1981,2,0
CS,1981,3,0
CS,1981,4,0
CS,1982,1,0
CS,1982,2,0
CS,1982,3,0
CS,1982,4,0
CS,1983,1,0
CS,1983,2,0
CS,1983,3,0
CS,1983,4,0
CS,1984,1,-1.292611537
CS,1984,2,-1.249579883
CS,1984,3,-0.804742221
CS,1984,4,0.243276732
CS,1985,1,0.871647853
CS,1985,2,-1.249579883
CS,1985,3,0.538376665
CS,1985,4,0.243276732
CS,1986,1,0.871647853
CS,1986,2,-1.249579883
CS,1986,3,2.043317104
CS,1986,4,-0.787844956
CS,1987,1,2.063206394
CS,1987,2,-1.249579883
CS,1987,3,0.508529579
CS,1987,4,-0.787844956
CS,1988,1,0.871647853
CS,1988,2,-1.249579883
CS,1988,3,0.494098021
CS,1988,4,0.25460774
CS,1989,1,0.871647853
CS,1989,2,0.731682967
CS,1989,3,1.821801379
CS,1989,4,-0.787844956
CS,1990,1,0.871647853
CS,1990,2,0.731682967
CS,1990,3,-0.804742221
CS,1990,4,0.243276732
CS,1991,1,-1.292611537
CS,1991,2,0.731682967
CS,1991,3,-0.804742221
CS,1991,4,2.769524869
CS,1992,1,-0.210481842
CS,1992,2,0.731682967
CS,1992,3,-0.804742221
CS,1992,4,-0.787844956
CS,1993,1,-0.210481842
CS,1993,2,0.731682967
CS,1993,3,0.508529579
CS,1993,4,0.243276732
CS,1994,1,-0.210481842
CS,1994,2,0.731682967
