Year,Planted,Yield
1981,11884.60,1.37649563300406
1982,11519.70,0.76431677908279
1983,12799.50,1.62411812961444
1984,12044.90,1.50037775323996
1985,11735.60,1.36870718156720
1986,11135.20,1.44759860622171
1987,9004.70,1.36448743433984
1988,8826.80,1.57872615217293
1989,9003.80,1.57873342366556
1990,9218.20,1.63438632270942
1991,7183.00,1.46976193790895
1992,8274.70,1.78117635684677
1993,8383.10,1.96576445467667
1994,7890.60,1.13570577649355
1995,9220.80,1.78985554398751
1996,10935.50,2.09631018243336
1997,10440.60,1.84153209585656
1998,11542.60,1.85961568450782
1999,12167.60,2.03469870804431
2000,12141.30,1.82090879889303
2001,11529.30,2.10762145143244
2002,11170.30,0.90703024985900
2003,13067.10,1.99981633262162
2004,13399.40,1.63478215442482
2005,12442.60,2.02131387330622
2006,11797.90,0.91725646089558
2007,12578.20,1.07880300837958
2008,13530.20,1.58313254792982
2009,13881.10,1.57293009919963
2010,13501.80,2.03009969041165
2011,13902.14,2.15110816384325
2012,12979.23,1.76090283688230
2013,12613.08,2.00606948773807
2014,12383.67,1.91724692536684
2015,11282.20,1.97430550900547
2016,12191.15,2.60998648989102
2017,10919.18,1.91783021354176
2018,10402.27,1.69170379050826
2019,9863.18,1.46810780331755
2020,12885.00,2.58723321691890
